"Time","Cloudflare (prom_tmp)","In-app"
1777837560000,52,undefined
1777837620000,0,undefined
1777837680000,undefined,9.787466666666667
1777837740000,undefined,5.454347114650377
1777837800000,undefined,5.453950478129659
1777837860000,undefined,712.8908283790581
1777837920000,undefined,6.544859558221981
1777837980000,undefined,5.4544462827948585
1777838040000,undefined,5.4544462827948585
1777838100000,undefined,18.54458186433987
1777838160000,undefined,282.5351805388895
1777838220000,undefined,5.454247950111812
1777838280000,undefined,5.4544462827948585
1777838340000,undefined,5.454247950111812
1777838400000,0,5.454148789178968
1777838460000,8,146.55174933673376
1777838520000,716.5,562.7162883033172
1777838580000,54,91.63303152612632
1777838640000,6,5.4538513280127985
1777838700000,6,5.454347114650377
1777838760000,0,5.454148789178968
1777838820000,172,5.454247950111812
1777838880000,6,5.4544462827948585
1777838940000,14,5.454247950111812
1777839000000,50,102.53855254788455
1777839060000,820,630.3327880839955
1777839120000,54,66.54424465009727
1777839180000,10,5.4544462827948585
1777839240000,4,5.454347114650377
1777839300000,0,5.454347114650377
1777839360000,18,40.361970322941374
1777839420000,197.5,175.62823191197066
1777839480000,148,114.53599421384057
1777839540000,undefined,170.17872402319958
1777839600000,4,5.4544462827948585
1777839660000,418,688.3176991168319
1777839720000,76,65.45335539353829
1777839780000,2,5.454148789178968
1777839840000,4,5.4544462827948585
1777839900000,undefined,5.454148789178968
1777839960000,0,5.4544462827948585
1777840020000,0,5.454347114650377
1777840080000,6,5.454247950111812
1777840140000,22,22.907722408167558
1777840200000,undefined,62.17955710701429
1777840260000,undefined,463.0654663148285
1777840320000,undefined,162.5279140815451
1777840380000,undefined,79.63233739815587
1777840440000,undefined,5.454347114650377
1777840500000,undefined,5.454247950111812
1777840560000,undefined,5.454247950111812
1777840620000,undefined,5.454247950111812
1777840680000,undefined,5.4544462827948585
1777840740000,undefined,94.90482693918678
1777840800000,undefined,98.17646310201262
1777840860000,undefined,705.116230310964
1777840920000,undefined,82.90155440414507
1777840980000,undefined,61.08868768408421
1777841040000,undefined,5.4544462827948585
1777841100000,0,5.454148789178968
1777841160000,6,5.4544462827948585
1777841220000,0,18.54487935795576
1777841280000,91,87.269355627923
1777841340000,62,97.08561351199026
1777841400000,81.5,5.454347114650377
1777841460000,454,791.5352883249361
1777841520000,24,58.90694883822407
1777841580000,0,35.99748116951404
1777841640000,142.5,161.44867459365113
1777841700000,4,5.4544462827948585
1777841760000,0,5.4544462827948585
1777841820000,2,5.4544462827948585
1777841880000,6,5.454347114650377
1777841940000,6,5.453752181500873
1777842000000,6,5.454347114650377
1777842060000,936,649.120217188156
1777842120000,undefined,66.54182499136411
1777842180000,undefined,22.908357049676063
1777842240000,undefined,62.18068762386138
1777842300000,undefined,5.454347114650377
1777842360000,undefined,5.454247950111812
1777842420000,undefined,5.454347114650377
1777842480000,undefined,5.454148789178968
1777842540000,undefined,5.454148789178968
1777842600000,undefined,22.90657219975277
1777842660000,undefined,718.9660079147197
1777842720000,undefined,8.727114052471773
1777842780000,undefined,5.454347114650377
1777842840000,undefined,5.4544462827948585
1777842900000,undefined,5.454347114650377
1777842960000,undefined,22.908158716993018
1777843020000,undefined,98.18003309030745
1777843080000,undefined,5.4544462827948585
1777843140000,undefined,5.454247950111812
1777843200000,undefined,344.72080673995197
1777843260000,undefined,748.1275838316624
1777843320000,undefined,14.18140166623546
1777843380000,undefined,10.908694243724423
1777843440000,undefined,10.908793397445235
