"Time","images_score_v2.lance / get_range","images_v6.lance / get_range","manual_image_appraisal_v1.lance / get_range","manual_skeet_appraisal_v1.lance / get_range","images_score_v2.lance / get","images_v6.lance / get","manual_image_appraisal_v1.lance / get","manual_skeet_appraisal_v1.lance / get","validate_v1.lance / get","images_score_v2.lance / head","images_score_v2.lance / list","images_v6.lance / list","manual_image_appraisal_v1.lance / list","manual_skeet_appraisal_v1.lance / list","validate_v1.lance / list","images_score_v2.lance / put"
1777385280000,0,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777385340000,0,1.333325925967078,undefined,undefined,50.66638518674896,285.3317481569547,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777385400000,0,1.333325925967078,undefined,undefined,50.66638518674896,285.3317481569547,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777385460000,0,1.3333333333333333,undefined,undefined,50.666666666666664,285.3333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777385520000,0,1.333325925967078,undefined,undefined,3.999977777901234,257.3319037116461,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777385580000,1.333325925967078,1.333325925967078,undefined,undefined,3.999977777901234,257.3319037116461,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777385640000,1.333325925967078,1.333325925967078,undefined,undefined,3.999977777901234,257.3319037116461,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777385700000,1.3333333333333333,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777385760000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777385820000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777385880000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777385940000,0,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777386000000,0,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777386060000,0,1.333325925967078,undefined,undefined,51.99971111271604,289.3317259348559,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777386120000,0,1.333325925967078,undefined,undefined,51.99971111271604,289.3317259348559,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777386180000,1.333325925967078,2.666651851934156,undefined,undefined,98.66611852156377,547.996955572469,0,0,0,0,18.666562963539093,13.333259259670779,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777386240000,1.333325925967078,1.333325925967078,undefined,undefined,46.66640740884773,258.66522963761315,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777386300000,1.3333333333333333,1.3333333333333333,undefined,undefined,46.666666666666664,258.66666666666663,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777386360000,0,0,undefined,undefined,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
