"Time","get_range / B","put / A"
1777396560000,1387.0077055555555,NaN
1777396620000,1387,NaN
1777396680000,7854.999999999999,567.2
1777396740000,7854.999999999999,567.2
1777396800000,1044.8771755345601,546.1428571428572
1777396860000,1059.7987001881306,600
1777396920000,1060.2392977255886,600
1777396980000,1095.386384376711,671
1777397040000,3775.3333333333335,NaN
1777397100000,1477,NaN
1777397160000,NaN,NaN
1777397220000,NaN,NaN
1777397280000,NaN,NaN
1777397340000,NaN,NaN
1777397400000,NaN,NaN
1777397460000,NaN,NaN
1777397520000,7988.499999999999,NaN
1777397580000,7988.499999999999,NaN
1777397640000,6514.25,NaN
1777397700000,3822.333333333333,NaN
1777397760000,3822.333333333333,NaN
1777397820000,1387,NaN
1777397880000,NaN,undefined
1777397940000,NaN,undefined
1777398000000,NaN,undefined
1777398060000,NaN,undefined
1777398120000,1477,undefined
1777398180000,1477,NaN
1777398240000,4935.8395837836715,634.2
1777398300000,8049.999999999999,634.2
1777398360000,8049.999999999999,634.2
1777398420000,NaN,NaN
1777398480000,NaN,NaN
1777398540000,NaN,NaN
1777398600000,NaN,NaN
1777398660000,NaN,NaN
1777398720000,3997.333333333333,NaN
1777398780000,3997.355540493994,NaN
1777398840000,3997.3333333333335,NaN
1777398900000,NaN,NaN
1777398960000,28269.5,NaN
1777399020000,28269.500000000004,NaN
1777399080000,28269.5,NaN
1777399140000,NaN,NaN
1777399200000,NaN,NaN
1777399260000,NaN,NaN
1777399320000,3642,NaN
1777399380000,3078,NaN
1777399440000,3078,NaN
1777399500000,1386,NaN
1777399560000,NaN,NaN
1777399620000,NaN,NaN
1777399680000,7855,567
1777399740000,7902.5439027777775,583.5032416666667
1777399800000,7902.5,583.5
1777399860000,7950,600
1777399920000,7860.999999999999,NaN
1777399980000,7860.999999999999,NaN
1777400040000,6086.333333333333,NaN
1777400100000,5199,NaN
1777400160000,5198.97111682713,NaN
1777400220000,NaN,NaN
1777400280000,8051,580.2857142857142
1777400340000,8051.044727777778,580.2889380952381
1777400400000,8051,580.2857142857142
1777400460000,NaN,NaN
