"Time","get_range / B","put / A"
2026-04-28 14:08:00,NaN,NaN
2026-04-28 14:09:00,7.47 KiB,567 B
2026-04-28 14:10:00,7.47 KiB,567 B
2026-04-28 14:11:00,7.47 KiB,567 B
2026-04-28 14:12:00,8.50 KiB,NaN
2026-04-28 14:13:00,4.97 KiB,NaN
2026-04-28 14:14:00,4.97 KiB,NaN
2026-04-28 14:15:00,1.44 KiB,NaN
2026-04-28 14:16:00,NaN,NaN
2026-04-28 14:17:00,NaN,NaN
2026-04-28 14:18:00,NaN,NaN
2026-04-28 14:19:00,NaN,NaN
2026-04-28 14:20:00,NaN,NaN
2026-04-28 14:21:00,7.57 KiB,602 B
2026-04-28 14:22:00,7.57 KiB,602 B
2026-04-28 14:23:00,5.84 KiB,602 B
2026-04-28 14:24:00,4.97 KiB,NaN
2026-04-28 14:25:00,4.97 KiB,NaN
2026-04-28 14:26:00,NaN,NaN
2026-04-28 14:27:00,NaN,NaN
2026-04-28 14:28:00,NaN,NaN
2026-04-28 14:29:00,NaN,NaN
2026-04-28 14:30:00,NaN,NaN
2026-04-28 14:31:00,NaN,NaN
2026-04-28 14:32:00,NaN,NaN
2026-04-28 14:33:00,4.88 KiB,NaN
2026-04-28 14:34:00,4.88 KiB,NaN
2026-04-28 14:35:00,4.88 KiB,NaN
2026-04-28 14:36:00,NaN,NaN
2026-04-28 14:37:00,NaN,NaN
2026-04-28 14:38:00,NaN,NaN
2026-04-28 14:39:00,NaN,NaN
2026-04-28 14:40:00,NaN,NaN
2026-04-28 14:41:00,NaN,NaN
2026-04-28 14:42:00,4.93 KiB,567 B
2026-04-28 14:43:00,4.93 KiB,567 B
2026-04-28 14:44:00,4.93 KiB,567 B
2026-04-28 14:45:00,7.57 KiB,600 B
2026-04-28 14:46:00,7.57 KiB,600 B
2026-04-28 14:47:00,7.57 KiB,600 B
2026-04-28 14:48:00,NaN,NaN
2026-04-28 14:49:00,7.67 KiB,633 B
2026-04-28 14:50:00,7.67 KiB,633 B
2026-04-28 14:51:00,7.67 KiB,633 B
2026-04-28 14:52:00,NaN,NaN
2026-04-28 14:53:00,8.20 KiB,NaN
2026-04-28 14:54:00,8.20 KiB,NaN
2026-04-28 14:55:00,8.20 KiB,NaN
2026-04-28 14:56:00,4.74 KiB,NaN
2026-04-28 14:57:00,4.74 KiB,NaN
2026-04-28 14:58:00,3.64 KiB,NaN
2026-04-28 14:59:00,4.51 KiB,602 B
2026-04-28 15:00:00,4.51 KiB,602 B
2026-04-28 15:01:00,7.57 KiB,602 B
2026-04-28 15:02:00,NaN,NaN
2026-04-28 15:03:00,4.97 KiB,NaN
2026-04-28 15:04:00,4.97 KiB,NaN
2026-04-28 15:05:00,4.97 KiB,NaN
2026-04-28 15:06:00,NaN,NaN
2026-04-28 15:07:00,NaN,NaN
2026-04-28 15:08:00,NaN,NaN
2026-04-28 15:09:00,NaN,NaN
2026-04-28 15:10:00,NaN,NaN
2026-04-28 15:11:00,NaN,NaN
2026-04-28 15:12:00,NaN,NaN
2026-04-28 15:13:00,4.88 KiB,NaN
2026-04-28 15:14:00,4.88 KiB,NaN
2026-04-28 15:15:00,4.88 KiB,NaN
2026-04-28 15:16:00,NaN,NaN
2026-04-28 15:17:00,NaN,NaN
2026-04-28 15:18:00,NaN,NaN
2026-04-28 15:19:00,NaN,NaN
2026-04-28 15:20:00,NaN,NaN
2026-04-28 15:21:00,7.48 KiB,567 B
2026-04-28 15:22:00,6.27 KiB,584 B
2026-04-28 15:23:00,6.27 KiB,584 B
2026-04-28 15:24:00,5.87 KiB,601 B
2026-04-28 15:25:00,NaN,NaN
2026-04-28 15:26:00,NaN,NaN
2026-04-28 15:27:00,NaN,NaN
2026-04-28 15:28:00,NaN,NaN
2026-04-28 15:29:00,NaN,NaN
2026-04-28 15:30:00,NaN,NaN
2026-04-28 15:31:00,NaN,NaN
2026-04-28 15:32:00,NaN,NaN
2026-04-28 15:33:00,4.46 KiB,NaN
2026-04-28 15:34:00,4.46 KiB,NaN
2026-04-28 15:35:00,1.03 KiB,602 B
2026-04-28 15:36:00,1.03 KiB,602 B
2026-04-28 15:37:00,1.03 KiB,618 B
2026-04-28 15:38:00,1.04 KiB,634 B
2026-04-28 15:39:00,NaN,634 B
2026-04-28 15:40:00,NaN,NaN
2026-04-28 15:41:00,NaN,NaN
2026-04-28 15:42:00,7.67 KiB,NaN
2026-04-28 15:43:00,7.67 KiB,NaN
2026-04-28 15:44:00,5.87 KiB,NaN
2026-04-28 15:45:00,4.97 KiB,NaN
2026-04-28 15:46:00,4.97 KiB,NaN
2026-04-28 15:47:00,7.57 KiB,602 B
2026-04-28 15:48:00,7.57 KiB,602 B
2026-04-28 15:49:00,7.57 KiB,602 B
2026-04-28 15:50:00,NaN,NaN
2026-04-28 15:51:00,NaN,NaN
2026-04-28 15:52:00,NaN,NaN
2026-04-28 15:53:00,4.91 KiB,NaN
2026-04-28 15:54:00,4.91 KiB,NaN
2026-04-28 15:55:00,3.75 KiB,NaN
2026-04-28 15:56:00,1.44 KiB,NaN
2026-04-28 15:57:00,1.44 KiB,NaN
2026-04-28 15:58:00,7.57 KiB,601 B
2026-04-28 15:59:00,7.57 KiB,601 B
2026-04-28 16:00:00,7.57 KiB,601 B
2026-04-28 16:01:00,NaN,NaN
2026-04-28 16:02:00,NaN,NaN
2026-04-28 16:03:00,4.96 KiB,NaN
2026-04-28 16:04:00,4.96 KiB,NaN
2026-04-28 16:05:00,3.79 KiB,NaN
2026-04-28 16:06:00,4.56 KiB,602 B
2026-04-28 16:07:00,4.56 KiB,602 B
2026-04-28 16:08:00,7.67 KiB,602 B
2026-04-28 16:09:00,7.76 KiB,634 B
2026-04-28 16:10:00,7.76 KiB,634 B
2026-04-28 16:11:00,7.76 KiB,634 B
2026-04-28 16:12:00,4.85 KiB,NaN
2026-04-28 16:13:00,4.85 KiB,NaN
2026-04-28 16:14:00,3.71 KiB,NaN
2026-04-28 16:15:00,1.44 KiB,NaN
2026-04-28 16:16:00,1.44 KiB,NaN
2026-04-28 16:17:00,7.77 KiB,NaN
2026-04-28 16:18:00,7.77 KiB,NaN
2026-04-28 16:19:00,7.77 KiB,601 B
2026-04-28 16:20:00,NaN,601 B
2026-04-28 16:21:00,NaN,601 B
2026-04-28 16:22:00,NaN,NaN
2026-04-28 16:23:00,5.08 KiB,NaN
2026-04-28 16:24:00,5.97 KiB,NaN
2026-04-28 16:25:00,5.97 KiB,NaN
2026-04-28 16:26:00,7.82 KiB,618 B
2026-04-28 16:27:00,7.86 KiB,618 B
2026-04-28 16:28:00,7.86 KiB,618 B
2026-04-28 16:29:00,NaN,NaN
2026-04-28 16:30:00,NaN,NaN
2026-04-28 16:31:00,NaN,NaN
2026-04-28 16:32:00,8.40 KiB,NaN
2026-04-28 16:33:00,8.40 KiB,NaN
2026-04-28 16:34:00,8.40 KiB,NaN
2026-04-28 16:35:00,3.17 KiB,NaN
2026-04-28 16:36:00,4.09 KiB,601 B
2026-04-28 16:37:00,4.09 KiB,601 B
2026-04-28 16:38:00,7.77 KiB,601 B
2026-04-28 16:39:00,NaN,NaN
2026-04-28 16:40:00,7.86 KiB,634 B
2026-04-28 16:41:00,7.86 KiB,634 B
2026-04-28 16:42:00,8.13 KiB,634 B
2026-04-28 16:43:00,8.39 KiB,NaN
2026-04-28 16:44:00,8.39 KiB,NaN
2026-04-28 16:45:00,5.13 KiB,NaN
2026-04-28 16:46:00,5.13 KiB,NaN
2026-04-28 16:47:00,5.13 KiB,NaN
2026-04-28 16:48:00,1.44 KiB,NaN
2026-04-28 16:49:00,1.44 KiB,NaN
2026-04-28 16:50:00,1.44 KiB,NaN
2026-04-28 16:51:00,NaN,NaN
2026-04-28 16:52:00,5.88 KiB,567 B
2026-04-28 16:53:00,5.88 KiB,567 B
2026-04-28 16:54:00,5.88 KiB,567 B
2026-04-28 16:55:00,4.65 KiB,579 B
2026-04-28 16:56:00,5.75 KiB,601 B
2026-04-28 16:57:00,5.75 KiB,601 B
2026-04-28 16:58:00,7.96 KiB,633 B
2026-04-28 16:59:00,NaN,NaN
2026-04-28 17:00:00,NaN,NaN
2026-04-28 17:01:00,NaN,NaN
2026-04-28 17:02:00,8.60 KiB,NaN
2026-04-28 17:03:00,6.22 KiB,NaN
2026-04-28 17:04:00,6.22 KiB,NaN
2026-04-28 17:05:00,1.44 KiB,NaN
2026-04-28 17:06:00,NaN,NaN
2026-04-28 17:07:00,NaN,NaN
2026-04-28 17:08:00,NaN,NaN
2026-04-28 17:09:00,NaN,NaN
2026-04-28 17:10:00,NaN,NaN
2026-04-28 17:11:00,NaN,NaN
2026-04-28 17:12:00,8.31 KiB,NaN
2026-04-28 17:13:00,5.82 KiB,NaN
2026-04-28 17:14:00,5.82 KiB,NaN
2026-04-28 17:15:00,1.09 KiB,NaN
2026-04-28 17:16:00,1.35 KiB,NaN
2026-04-28 17:17:00,1.35 KiB,NaN
2026-04-28 17:18:00,7.67 KiB,567 B
2026-04-28 17:19:00,7.67 KiB,567 B
2026-04-28 17:20:00,1.02 KiB,546 B
2026-04-28 17:21:00,1.03 KiB,600 B
2026-04-28 17:22:00,1.04 KiB,600 B
2026-04-28 17:23:00,1.07 KiB,671 B
2026-04-28 17:24:00,3.69 KiB,NaN
2026-04-28 17:25:00,1.44 KiB,NaN
2026-04-28 17:26:00,NaN,NaN
2026-04-28 17:27:00,NaN,NaN
2026-04-28 17:28:00,NaN,NaN
2026-04-28 17:29:00,NaN,NaN
2026-04-28 17:30:00,NaN,NaN
2026-04-28 17:31:00,NaN,NaN
2026-04-28 17:32:00,7.80 KiB,NaN
2026-04-28 17:33:00,7.80 KiB,NaN
2026-04-28 17:34:00,6.36 KiB,NaN
2026-04-28 17:35:00,3.73 KiB,NaN
2026-04-28 17:36:00,3.73 KiB,NaN
2026-04-28 17:37:00,1.35 KiB,NaN
2026-04-28 17:38:00,NaN,
2026-04-28 17:39:00,NaN,
2026-04-28 17:40:00,NaN,
2026-04-28 17:41:00,NaN,
2026-04-28 17:42:00,1.44 KiB,
2026-04-28 17:43:00,1.44 KiB,NaN
2026-04-28 17:44:00,4.82 KiB,634 B
2026-04-28 17:45:00,7.86 KiB,634 B
2026-04-28 17:46:00,7.86 KiB,634 B
2026-04-28 17:47:00,NaN,NaN
2026-04-28 17:48:00,NaN,NaN
2026-04-28 17:49:00,NaN,NaN
2026-04-28 17:50:00,NaN,NaN
2026-04-28 17:51:00,NaN,NaN
2026-04-28 17:52:00,3.90 KiB,NaN
2026-04-28 17:53:00,3.90 KiB,NaN
2026-04-28 17:54:00,3.90 KiB,NaN
2026-04-28 17:55:00,NaN,NaN
2026-04-28 17:56:00,27.6 KiB,NaN
2026-04-28 17:57:00,27.6 KiB,NaN
2026-04-28 17:58:00,27.6 KiB,NaN
2026-04-28 17:59:00,NaN,NaN
2026-04-28 18:00:00,NaN,NaN
