"Time","get_range / B","put / A"
2026-04-28 18:01:00,NaN,NaN
2026-04-28 18:02:00,3.56 KiB,NaN
2026-04-28 18:03:00,3.01 KiB,NaN
2026-04-28 18:04:00,3.01 KiB,NaN
2026-04-28 18:05:00,1.35 KiB,NaN
2026-04-28 18:06:00,NaN,NaN
2026-04-28 18:07:00,NaN,NaN
2026-04-28 18:08:00,7.67 KiB,567 B
2026-04-28 18:09:00,7.72 KiB,584 B
2026-04-28 18:10:00,7.72 KiB,584 B
2026-04-28 18:11:00,7.76 KiB,600 B
2026-04-28 18:12:00,7.68 KiB,NaN
2026-04-28 18:13:00,7.68 KiB,NaN
2026-04-28 18:14:00,5.94 KiB,NaN
2026-04-28 18:15:00,5.08 KiB,NaN
2026-04-28 18:16:00,5.08 KiB,NaN
2026-04-28 18:17:00,NaN,NaN
2026-04-28 18:18:00,7.86 KiB,580 B
2026-04-28 18:19:00,7.86 KiB,580 B
2026-04-28 18:20:00,7.86 KiB,580 B
2026-04-28 18:21:00,NaN,NaN
2026-04-28 18:22:00,3.82 KiB,NaN
2026-04-28 18:23:00,3.82 KiB,NaN
2026-04-28 18:24:00,3.82 KiB,NaN
2026-04-28 18:25:00,NaN,NaN
2026-04-28 18:26:00,NaN,NaN
2026-04-28 18:27:00,NaN,NaN
2026-04-28 18:28:00,NaN,NaN
2026-04-28 18:29:00,NaN,NaN
2026-04-28 18:30:00,NaN,NaN
2026-04-28 18:31:00,NaN,NaN
2026-04-28 18:32:00,3.73 KiB,NaN
2026-04-28 18:33:00,3.73 KiB,NaN
2026-04-28 18:34:00,3.73 KiB,NaN
2026-04-28 18:35:00,NaN,NaN
2026-04-28 18:36:00,7.77 KiB,543 B
2026-04-28 18:37:00,7.77 KiB,543 B
2026-04-28 18:38:00,7.77 KiB,543 B
2026-04-28 18:39:00,NaN,NaN
2026-04-28 18:40:00,NaN,NaN
2026-04-28 18:41:00,NaN,NaN
2026-04-28 18:42:00,5.08 KiB,NaN
2026-04-28 18:43:00,5.08 KiB,NaN
2026-04-28 18:44:00,5.08 KiB,NaN
2026-04-28 18:45:00,NaN,NaN
2026-04-28 18:46:00,NaN,NaN
2026-04-28 18:47:00,NaN,NaN
2026-04-28 18:48:00,NaN,NaN
2026-04-28 18:49:00,NaN,NaN
2026-04-28 18:50:00,NaN,NaN
2026-04-28 18:51:00,7.77 KiB,602 B
2026-04-28 18:52:00,4.81 KiB,602 B
2026-04-28 18:53:00,4.81 KiB,602 B
2026-04-28 18:54:00,3.82 KiB,NaN
2026-04-28 18:55:00,NaN,NaN
2026-04-28 18:56:00,NaN,NaN
2026-04-28 18:57:00,NaN,NaN
2026-04-28 18:58:00,NaN,NaN
2026-04-28 18:59:00,7.77 KiB,602 B
2026-04-28 19:00:00,7.77 KiB,602 B
2026-04-28 19:01:00,7.77 KiB,602 B
2026-04-28 19:02:00,3.64 KiB,NaN
2026-04-28 19:03:00,3.09 KiB,NaN
2026-04-28 19:04:00,3.09 KiB,NaN
2026-04-28 19:05:00,4.61 KiB,602 B
2026-04-28 19:06:00,7.77 KiB,602 B
2026-04-28 19:07:00,7.77 KiB,602 B
2026-04-28 19:08:00,NaN,NaN
2026-04-28 19:09:00,7.86 KiB,634 B
2026-04-28 19:10:00,7.86 KiB,634 B
2026-04-28 19:11:00,7.86 KiB,634 B
2026-04-28 19:12:00,4.73 KiB,601 B
2026-04-28 19:13:00,4.73 KiB,601 B
2026-04-28 19:14:00,4.73 KiB,601 B
2026-04-28 19:15:00,NaN,NaN
2026-04-28 19:16:00,NaN,NaN
2026-04-28 19:17:00,NaN,NaN
2026-04-28 19:18:00,1.02 KiB,537 B
2026-04-28 19:19:00,1.04 KiB,634 B
2026-04-28 19:20:00,1.04 KiB,634 B
2026-04-28 19:21:00,1.09 KiB,700 B
2026-04-28 19:22:00,4.85 KiB,NaN
2026-04-28 19:23:00,3.71 KiB,NaN
2026-04-28 19:24:00,3.71 KiB,NaN
2026-04-28 19:25:00,4.61 KiB,602 B
2026-04-28 19:26:00,7.82 KiB,618 B
2026-04-28 19:27:00,7.82 KiB,618 B
2026-04-28 19:28:00,7.87 KiB,634 B
2026-04-28 19:29:00,NaN,NaN
2026-04-28 19:30:00,NaN,NaN
2026-04-28 19:31:00,NaN,NaN
2026-04-28 19:32:00,4.85 KiB,NaN
2026-04-28 19:33:00,4.73 KiB,602 B
2026-04-28 19:34:00,4.73 KiB,602 B
2026-04-28 19:35:00,4.61 KiB,602 B
2026-04-28 19:36:00,NaN,NaN
2026-04-28 19:37:00,NaN,NaN
2026-04-28 19:38:00,NaN,NaN
2026-04-28 19:39:00,NaN,NaN
2026-04-28 19:40:00,NaN,NaN
2026-04-28 19:41:00,NaN,NaN
2026-04-28 19:42:00,7.68 KiB,NaN
2026-04-28 19:43:00,7.68 KiB,NaN
2026-04-28 19:44:00,5.95 KiB,NaN
2026-04-28 19:45:00,5.08 KiB,NaN
2026-04-28 19:46:00,5.08 KiB,NaN
2026-04-28 19:47:00,NaN,NaN
2026-04-28 19:48:00,NaN,NaN
2026-04-28 19:49:00,NaN,NaN
2026-04-28 19:50:00,7.77 KiB,602 B
2026-04-28 19:51:00,7.77 KiB,602 B
2026-04-28 19:52:00,5.80 KiB,602 B
2026-04-28 19:53:00,3.64 KiB,NaN
2026-04-28 19:54:00,3.09 KiB,NaN
2026-04-28 19:55:00,1.38 KiB,NaN
2026-04-28 19:56:00,1.44 KiB,NaN
2026-04-28 19:57:00,NaN,NaN
2026-04-28 19:58:00,7.77 KiB,601 B
2026-04-28 19:59:00,7.77 KiB,601 B
2026-04-28 20:00:00,7.77 KiB,601 B
2026-04-28 20:01:00,NaN,NaN
2026-04-28 20:02:00,4.81 KiB,NaN
2026-04-28 20:03:00,3.69 KiB,NaN
2026-04-28 20:04:00,3.69 KiB,NaN
2026-04-28 20:05:00,1.44 KiB,NaN
2026-04-28 20:06:00,NaN,NaN
2026-04-28 20:07:00,NaN,NaN
2026-04-28 20:08:00,NaN,NaN
2026-04-28 20:09:00,NaN,NaN
2026-04-28 20:10:00,NaN,NaN
2026-04-28 20:11:00,NaN,NaN
2026-04-28 20:12:00,4.72 KiB,NaN
2026-04-28 20:13:00,3.60 KiB,NaN
2026-04-28 20:14:00,3.60 KiB,NaN
2026-04-28 20:15:00,1.35 KiB,NaN
2026-04-28 20:16:00,NaN,NaN
2026-04-28 20:17:00,NaN,NaN
2026-04-28 20:18:00,NaN,NaN
2026-04-28 20:19:00,7.67 KiB,567 B
2026-04-28 20:20:00,7.67 KiB,567 B
2026-04-28 20:21:00,7.67 KiB,567 B
2026-04-28 20:22:00,5.08 KiB,NaN
2026-04-28 20:23:00,5.97 KiB,601 B
2026-04-28 20:24:00,5.97 KiB,601 B
2026-04-28 20:25:00,7.77 KiB,601 B
2026-04-28 20:26:00,NaN,NaN
2026-04-28 20:27:00,NaN,NaN
2026-04-28 20:28:00,NaN,NaN
2026-04-28 20:29:00,NaN,NaN
2026-04-28 20:30:00,7.86 KiB,634 B
2026-04-28 20:31:00,7.86 KiB,634 B
2026-04-28 20:32:00,8.29 KiB,634 B
2026-04-28 20:33:00,8.71 KiB,NaN
2026-04-28 20:34:00,5.08 KiB,NaN
2026-04-28 20:35:00,1.44 KiB,NaN
2026-04-28 20:36:00,1.44 KiB,NaN
2026-04-28 20:37:00,NaN,NaN
2026-04-28 20:38:00,1.02 KiB,496 B
2026-04-28 20:39:00,1.04 KiB,602 B
2026-04-28 20:40:00,1.04 KiB,602 B
2026-04-28 20:41:00,1.10 KiB,672 B
2026-04-28 20:42:00,3.82 KiB,NaN
2026-04-28 20:43:00,3.82 KiB,NaN
2026-04-28 20:44:00,4.81 KiB,601 B
2026-04-28 20:45:00,7.77 KiB,601 B
2026-04-28 20:46:00,7.77 KiB,601 B
2026-04-28 20:47:00,NaN,NaN
2026-04-28 20:48:00,NaN,NaN
2026-04-28 20:49:00,NaN,NaN
2026-04-28 20:50:00,NaN,NaN
2026-04-28 20:51:00,NaN,NaN
2026-04-28 20:52:00,3.82 KiB,NaN
2026-04-28 20:53:00,3.82 KiB,NaN
2026-04-28 20:54:00,3.82 KiB,NaN
2026-04-28 20:55:00,7.77 KiB,602 B
2026-04-28 20:56:00,7.77 KiB,602 B
2026-04-28 20:57:00,7.82 KiB,618 B
2026-04-28 20:58:00,7.86 KiB,634 B
2026-04-28 20:59:00,7.86 KiB,634 B
2026-04-28 21:00:00,7.96 KiB,667 B
2026-04-28 21:01:00,7.96 KiB,667 B
2026-04-28 21:02:00,4.84 KiB,667 B
2026-04-28 21:03:00,3.21 KiB,NaN
2026-04-28 21:04:00,3.21 KiB,NaN
2026-04-28 21:05:00,1.44 KiB,NaN
2026-04-28 21:06:00,NaN,NaN
2026-04-28 21:07:00,NaN,NaN
2026-04-28 21:08:00,NaN,NaN
2026-04-28 21:09:00,NaN,NaN
2026-04-28 21:10:00,NaN,NaN
2026-04-28 21:11:00,NaN,NaN
2026-04-28 21:12:00,4.92 KiB,NaN
2026-04-28 21:13:00,4.92 KiB,NaN
2026-04-28 21:14:00,3.73 KiB,NaN
2026-04-28 21:15:00,4.51 KiB,567 B
2026-04-28 21:16:00,4.51 KiB,567 B
2026-04-28 21:17:00,7.72 KiB,584 B
2026-04-28 21:18:00,7.81 KiB,616 B
2026-04-28 21:19:00,7.81 KiB,616 B
